Surname,Race,Number of occurrences among people self-identifying as this race,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as this race,U.S. Rank,U.S. total occurrences
NAKAO,Asian and Pacific Islander,590,1537,82.6%,30791,714
RAGHAVAN,Asian and Pacific Islander,590,1537,93.9%,34150,628
CARDENAS,Asian and Pacific Islander,589,1543,1.0%,529,56618
BALA,Asian and Pacific Islander,589,1543,37.6%,16769,1568
GASPAR,Asian and Pacific Islander,588,1545,7.7%,4327,7601
PING,Asian and Pacific Islander,588,1545,19.6%,9922,3001
LALL,Asian and Pacific Islander,588,1545,46.4%,19695,1266
DEOCAMPO,Asian and Pacific Islander,588,1545,77.0%,29210,764
KAWANO,Asian and Pacific Islander,588,1545,82.5%,30831,713
PETER,Asian and Pacific Islander,587,1550,6.8%,3758,8662
OM,Asian and Pacific Islander,587,1550,85.3%,31738,688
RICE,Asian and Pacific Islander,586,1552,0.4%,169,146440
ARNOLD,Asian and Pacific Islander,586,1552,0.4%,187,136315
BARRERA,Asian and Pacific Islander,586,1552,1.3%,713,43720
OKUMURA,Asian and Pacific Islander,586,1552,83.6%,31271,701
MEDRANO,Asian and Pacific Islander,585,1556,2.0%,1091,29386
SHON,Asian and Pacific Islander,585,1556,73.2%,28194,799
OZAKI,Asian and Pacific Islander,585,1556,80.1%,30264,730
GOSWAMI,Asian and Pacific Islander,585,1556,93.0%,34114,629
HOFFMAN,Asian and Pacific Islander,584,1560,0.4%,195,132645
TAHIR,Asian and Pacific Islander,584,1560,53.5%,22116,1091
NONG,Asian and Pacific Islander,584,1560,92.0%,33830,635
SANGHA,Asian and Pacific Islander,583,1563,88.9%,32939,656
NICHOLS,Asian and Pacific Islander,582,1564,0.4%,174,141936
DESOUZA,Asian and Pacific Islander,582,1564,13.2%,7003,4413
DEA,Asian and Pacific Islander,582,1564,49.9%,20995,1167
ANDAYA,Asian and Pacific Islander,582,1564,69.6%,27207,836
VALERA,Asian and Pacific Islander,581,1568,20.1%,10226,2893
SANNICOLAS,Asian and Pacific Islander,581,1568,58.6%,23796,992
NGU,Asian and Pacific Islander,581,1568,90.5%,33528,642
VEA,Asian and Pacific Islander,580,1571,68.4%,26924,848
HEM,Asian and Pacific Islander,580,1571,70.3%,27496,825
THAMMAVONGSA,Asian and Pacific Islander,580,1571,87.9%,32782,660
KHATOON,Asian and Pacific Islander,580,1571,89.0%,33090,652
RAMANATHAN,Asian and Pacific Islander,580,1571,95.6%,35153,607
BHASIN,Asian and Pacific Islander,579,1576,85.9%,32227,674
BALASUBRAMANIAN,Asian and Pacific Islander,579,1576,95.5%,35187,606
DIXON,Asian and Pacific Islander,578,1578,0.4%,156,152015
WILLIS,Asian and Pacific Islander,578,1578,0.5%,216,125627
KATAYAMA,Asian and Pacific Islander,578,1578,86.0%,32302,672
MYINT,Asian and Pacific Islander,578,1578,87.2%,32652,663
TAIRA,Asian and Pacific Islander,577,1582,79.3%,30324,728
MIYAZAKI,Asian and Pacific Islander,577,1582,87.3%,32743,661
CARROLL,Asian and Pacific Islander,576,1584,0.4%,201,131020
MAYO,Asian and Pacific Islander,576,1584,1.7%,965,33126
EM,Asian and Pacific Islander,576,1584,77.8%,29932,740
BACANI,Asian and Pacific Islander,576,1584,81.7%,31126,705
CHHABRA,Asian and Pacific Islander,576,1584,88.8%,33206,649
CONTRERAS,Asian and Pacific Islander,574,1589,0.6%,299,92660
ANTHONY,Asian and Pacific Islander,574,1589,1.1%,580,52146
HY,Asian and Pacific Islander,574,1589,76.5%,29625,750
MORIKAWA,Asian and Pacific Islander,574,1589,81.1%,31014,708
SINGHAL,Asian and Pacific Islander,574,1589,87.1%,32823,659
TEP,Asian and Pacific Islander,574,1589,88.7%,33292,647
WIDJAJA,Asian and Pacific Islander,574,1589,94.7%,35187,606
KURUVILLA,Asian and Pacific Islander,574,1589,94.7%,35187,606
PO,Asian and Pacific Islander,573,1597,75.6%,29390,758
SAWHNEY,Asian and Pacific Islander,573,1597,87.2%,32900,657
CARPENTER,Asian and Pacific Islander,572,1599,0.5%,211,127073
BURKE,Asian and Pacific Islander,572,1599,0.5%,229,119175
MUSTAFA,Asian and Pacific Islander,572,1599,14.4%,7724,3970
MIYASATO,Asian and Pacific Islander,572,1599,77.0%,29840,743
JHAVERI,Asian and Pacific Islander,572,1599,91.2%,34210,627
BAN,Asian and Pacific Islander,571,1604,36.9%,16960,1546
RAMASWAMY,Asian and Pacific Islander,571,1604,92.2%,34599,619
VEGA,Asian and Pacific Islander,570,1606,0.6%,318,87728
RAVI,Asian and Pacific Islander,570,1606,91.5%,34399,623
BALUYOT,Asian and Pacific Islander,570,1606,92.4%,34673,617
BERRY,Asian and Pacific Islander,569,1609,0.4%,205,129405
SAKURAI,Asian and Pacific Islander,569,1609,87.7%,33206,649
HICKS,Asian and Pacific Islander,568,1611,0.4%,155,153618
CHINEN,Asian and Pacific Islander,568,1611,82.0%,31563,693
AUSTIN,Asian and Pacific Islander,566,1613,0.5%,241,113160
SREY,Asian and Pacific Islander,566,1613,86.0%,32856,658
AUNG,Asian and Pacific Islander,566,1613,90.4%,34259,626
MANG,Asian and Pacific Islander,565,1616,28.9%,14108,1957
NISHI,Asian and Pacific Islander,565,1616,80.7%,31301,700
YOKOTA,Asian and Pacific Islander,565,1616,85.7%,32823,659
BUSTAMANTE,Asian and Pacific Islander,564,1619,3.1%,1794,18363
DASS,Asian and Pacific Islander,564,1619,52.4%,22322,1077
AGCAOILI,Asian and Pacific Islander,564,1619,81.7%,31658,690
KAHLON,Asian and Pacific Islander,564,1619,89.7%,34114,629
TRIPATHI,Asian and Pacific Islander,563,1623,90.8%,34554,620
ALVARADO,Asian and Pacific Islander,562,1624,0.6%,294,93723
MIR,Asian and Pacific Islander,562,1624,39.5%,18077,1422
KITAGAWA,Asian and Pacific Islander,562,1624,81.4%,31658,690
JOY,Asian and Pacific Islander,561,1627,4.4%,2607,12741
MAHMUD,Asian and Pacific Islander,561,1627,54.7%,23221,1025
MOJICA,Asian and Pacific Islander,560,1629,5.2%,3077,10803
VILLAREAL,Asian and Pacific Islander,560,1629,6.5%,3797,8577
SOUZA,Asian and Pacific Islander,559,1631,2.8%,1627,20168
HUM,Asian and Pacific Islander,557,1632,59.0%,24763,944
TERADA,Asian and Pacific Islander,557,1632,85.2%,33020,654
ELLIOTT,Asian and Pacific Islander,556,1634,0.4%,197,132457
ARCEO,Asian and Pacific Islander,556,1634,18.1%,9716,3068
HORIUCHI,Asian and Pacific Islander,556,1634,81.0%,31817,686
WEAVER,Asian and Pacific Islander,555,1637,0.4%,179,138811
JACOBS,Asian and Pacific Islander,555,1637,0.5%,233,115540
ROMAN,Asian and Pacific Islander,555,1637,0.9%,507,59020
MEDEIROS,Asian and Pacific Islander,555,1637,3.1%,1818,18121
DELAPAZ,Asian and Pacific Islander,555,1637,11.7%,6611,4729
PHANG,Asian and Pacific Islander,555,1637,80.1%,31563,693
THAMMAVONG,Asian and Pacific Islander,555,1637,93.6%,35797,593
OUM,Asian and Pacific Islander,554,1644,89.9%,34711,616
PULIDO,Asian and Pacific Islander,553,1645,3.9%,2347,14151
MOSES,Asian and Pacific Islander,552,1646,1.5%,858,36814
LEDESMA,Asian and Pacific Islander,552,1646,3.7%,2211,15077
TAKAYAMA,Asian and Pacific Islander,552,1646,86.7%,33735,637
GATCHALIAN,Asian and Pacific Islander,552,1646,92.3%,35585,598
BRYANT,Asian and Pacific Islander,551,1650,0.3%,120,183761
CAM,Asian and Pacific Islander,551,1650,56.3%,24061,978
GRANT,Asian and Pacific Islander,550,1652,0.4%,192,134034
NAITO,Asian and Pacific Islander,549,1653,87.4%,34150,628
NING,Asian and Pacific Islander,549,1653,87.8%,34308,625
TAK,Asian and Pacific Islander,548,1655,83.9%,33054,653
OWENS,Asian and Pacific Islander,547,1656,0.3%,126,176334
BARRETT,Asian and Pacific Islander,547,1656,0.6%,288,95896
TANDON,Asian and Pacific Islander,547,1656,85.3%,33563,641
ONISHI,Asian and Pacific Islander,547,1656,85.9%,33735,637
OKUDA,Asian and Pacific Islander,547,1656,88.2%,34554,620
TSAY,Asian and Pacific Islander,547,1656,92.6%,35916,591
PIERCE,Asian and Pacific Islander,546,1662,0.4%,186,136517
PERKINS,Asian and Pacific Islander,546,1662,0.4%,212,126951
LIE,Asian and Pacific Islander,546,1662,66.0%,27439,827
KANDA,Asian and Pacific Islander,546,1662,68.4%,28226,798
DELMUNDO,Asian and Pacific Islander,546,1662,93.2%,36129,586
HATTORI,Asian and Pacific Islander,545,1667,85.8%,33830,635
BUSTOS,Asian and Pacific Islander,544,1668,4.4%,2680,12401
CHOCK,Asian and Pacific Islander,544,1668,55.6%,24061,978
DAN,Asian and Pacific Islander,543,1670,23.5%,12317,2315
SAIKI,Asian and Pacific Islander,543,1670,75.9%,30753,715
YAMAZAKI,Asian and Pacific Islander,543,1670,92.7%,36129,586
MYUNG,Asian and Pacific Islander,543,1670,96.6%,37319,562
MADRID,Asian and Pacific Islander,542,1674,2.6%,1580,20834
BABA,Asian and Pacific Islander,542,1674,35.8%,17214,1516
CUNNINGHAM,Asian and Pacific Islander,541,1676,0.4%,198,131896
IBANEZ,Asian and Pacific Islander,541,1676,9.0%,5328,6018
HALIM,Asian and Pacific Islander,541,1676,52.0%,22949,1041
SAMONTE,Asian and Pacific Islander,541,1676,82.3%,32900,657
KOU,Asian and Pacific Islander,541,1676,90.5%,35585,598
BECK,Asian and Pacific Islander,540,1681,0.6%,295,93161
LEA,Asian and Pacific Islander,540,1681,5.6%,3414,9597
KHOO,Asian and Pacific Islander,540,1681,92.2%,36129,586
AGUILA,Asian and Pacific Islander,539,1684,12.5%,7122,4326
HING,Asian and Pacific Islander,539,1684,44.0%,20204,1226
IGE,Asian and Pacific Islander,539,1684,71.4%,29481,755
VINH,Asian and Pacific Islander,539,1684,94.7%,36956,569
TUCKER,Asian and Pacific Islander,538,1688,0.3%,139,162933
PRADO,Asian and Pacific Islander,538,1688,3.1%,1873,17586
KEALOHA,Asian and Pacific Islander,538,1688,59.1%,25484,911
GANESH,Asian and Pacific Islander,538,1688,64.6%,27289,833
HEU,Asian and Pacific Islander,538,1688,84.5%,33735,637
PUROHIT,Asian and Pacific Islander,538,1688,92.6%,36381,581
VIDAL,Asian and Pacific Islander,537,1694,3.9%,2395,13867
LOOK,Asian and Pacific Islander,536,1695,13.3%,7596,4037
MINAMI,Asian and Pacific Islander,536,1695,82.7%,33248,648
NANDA,Asian and Pacific Islander,536,1695,86.5%,34554,620
TSAN,Asian and Pacific Islander,536,1695,91.0%,35994,589
TOMA,Asian and Pacific Islander,535,1699,16.6%,9279,3229
FLORENDO,Asian and Pacific Islander,535,1699,70.3%,29296,761
LIWANAG,Asian and Pacific Islander,535,1699,91.0%,36045,588
CHOHAN,Asian and Pacific Islander,534,1702,82.8%,33380,645
ZEE,Asian and Pacific Islander,533,1703,53.8%,23831,990
HANDA,Asian and Pacific Islander,533,1703,67.3%,28375,792
KANNAN,Asian and Pacific Islander,533,1703,74.3%,30682,717
ICHIKAWA,Asian and Pacific Islander,533,1703,85.7%,34459,622
CEN,Asian and Pacific Islander,533,1703,89.6%,35721,595
FOK,Asian and Pacific Islander,533,1703,93.2%,36807,572
BRAVO,Asian and Pacific Islander,532,1709,1.9%,1165,27576
EUSEBIO,Asian and Pacific Islander,532,1709,38.1%,18329,1395
SAMRA,Asian and Pacific Islander,532,1709,51.1%,22934,1042
BADUA,Asian and Pacific Islander,531,1712,83.8%,33876,634
SUBRAMANIAM,Asian and Pacific Islander,531,1712,92.5%,36716,574
MENDEZ,Asian and Pacific Islander,530,1714,0.5%,242,112736
SANDOVAL,Asian and Pacific Islander,530,1714,0.6%,287,96303
NAWAZ,Asian and Pacific Islander,530,1714,75.4%,31202,703
PAPA,Asian and Pacific Islander,529,1717,9.0%,5438,5884
MARCOS,Asian and Pacific Islander,529,1717,16.2%,9192,3263
BLAS,Asian and Pacific Islander,529,1717,17.7%,9973,2985
MOHIUDDIN,Asian and Pacific Islander,529,1717,80.8%,32984,655
JING,Asian and Pacific Islander,529,1717,93.6%,37145,565
ALBA,Asian and Pacific Islander,528,1722,5.3%,3324,9872
ALEJO,Asian and Pacific Islander,528,1722,12.9%,7520,4081
TANI,Asian and Pacific Islander,528,1722,61.7%,26738,856
MASOOD,Asian and Pacific Islander,528,1722,69.0%,29181,765
KNIGHT,Asian and Pacific Islander,527,1726,0.4%,199,131860
MAGAT,Asian and Pacific Islander,527,1726,84.5%,34342,624
CHHIM,Asian and Pacific Islander,527,1726,87.5%,35387,602
ALMAZAN,Asian and Pacific Islander,526,1729,12.2%,7154,4304
BRADLEY,Asian and Pacific Islander,525,1730,0.4%,200,131289
BISHOP,Asian and Pacific Islander,525,1730,0.5%,238,114034
TEJADA,Asian and Pacific Islander,525,1730,5.4%,3372,9700
DEO,Asian and Pacific Islander,524,1733,49.2%,22538,1065
QAZI,Asian and Pacific Islander,524,1733,75.0%,31339,699
HAYASHIDA,Asian and Pacific Islander,524,1733,81.9%,33605,640
CHAPMAN,Asian and Pacific Islander,523,1736,0.4%,218,124614
BURGOS,Asian and Pacific Islander,523,1736,2.6%,1658,19816
ALBERTO,Asian and Pacific Islander,523,1736,11.9%,7026,4398
CUMMINGS,Asian and Pacific Islander,522,1739,0.7%,372,76707
HAMEED,Asian and Pacific Islander,522,1739,52.0%,23568,1004
VIEN,Asian and Pacific Islander,522,1739,59.9%,26361,871
SIA,Asian and Pacific Islander,522,1739,73.2%,30831,713
TAKESHITA,Asian and Pacific Islander,522,1739,85.4%,34949,611
YADAV,Asian and Pacific Islander,522,1739,89.5%,36276,583
COLLADO,Asian and Pacific Islander,521,1745,7.6%,4735,6854
GARRIDO,Asian and Pacific Islander,521,1745,9.1%,5589,5699
DUTT,Asian and Pacific Islander,521,1745,37.9%,18520,1375
ASIF,Asian and Pacific Islander,521,1745,79.9%,33090,652
OKIMOTO,Asian and Pacific Islander,521,1745,84.6%,34711,616
VITUG,Asian and Pacific Islander,521,1745,90.8%,36716,574
CORREA,Asian and Pacific Islander,520,1751,1.8%,1109,28910
AREVALO,Asian and Pacific Islander,520,1751,3.3%,2087,15942
PANJWANI,Asian and Pacific Islander,520,1751,87.7%,35797,593
LOUIS,Asian and Pacific Islander,519,1754,2.8%,1771,18552
MONTEMAYOR,Asian and Pacific Islander,519,1754,7.8%,4860,6630
SIHARATH,Asian and Pacific Islander,519,1754,89.5%,36421,580
HIPOLITO,Asian and Pacific Islander,518,1757,28.3%,14862,1828
FRANKLIN,Asian and Pacific Islander,517,1758,0.5%,236,114859
ZIA,Asian and Pacific Islander,517,1758,56.0%,25169,924
ZAPANTA,Asian and Pacific Islander,517,1758,83.7%,34630,618
KITAMURA,Asian and Pacific Islander,516,1761,85.9%,35445,601
BENSON,Asian and Pacific Islander,514,1762,0.6%,332,84233
BASSI,Asian and Pacific Islander,514,1762,33.9%,17221,1515
STEPHENS,Asian and Pacific Islander,513,1764,0.4%,181,138742
SOON,Asian and Pacific Islander,513,1764,72.7%,31085,706
HEO,Asian and Pacific Islander,513,1764,95.7%,38771,536
CHAR,Asian and Pacific Islander,511,1767,64.4%,28353,793
CONG,Asian and Pacific Islander,511,1767,78.6%,33169,650
SHEK,Asian and Pacific Islander,511,1767,81.0%,34038,631
UPADHYAY,Asian and Pacific Islander,511,1767,89.2%,36761,573
HUDSON,Asian and Pacific Islander,510,1771,0.4%,202,130793
LEANO,Asian and Pacific Islander,510,1771,61.7%,27439,827
CHHUN,Asian and Pacific Islander,510,1771,91.4%,37534,558
DUNCAN,Asian and Pacific Islander,509,1774,0.4%,203,130419
CARIAGA,Asian and Pacific Islander,509,1774,64.8%,28584,785
BAKSH,Asian and Pacific Islander,508,1776,38.7%,19136,1314
ESTACIO,Asian and Pacific Islander,508,1776,58.3%,26332,872
TECSON,Asian and Pacific Islander,508,1776,88.8%,36807,572
FUKUNAGA,Asian and Pacific Islander,507,1779,85.9%,35957,590
JHA,Asian and Pacific Islander,507,1779,92.7%,38079,547
WALSH,Asian and Pacific Islander,506,1781,0.5%,265,103216
DAYRIT,Asian and Pacific Islander,506,1781,92.0%,37938,550
IYENGAR,Asian and Pacific Islander,506,1781,92.5%,38079,547
GUNAWAN,Asian and Pacific Islander,506,1781,92.8%,38198,545
MONTGOMERY,Asian and Pacific Islander,505,1785,0.5%,246,112144
MANIVONG,Asian and Pacific Islander,505,1785,89.9%,37319,562
SRIDHAR,Asian and Pacific Islander,505,1785,94.7%,38942,533
SHA,Asian and Pacific Islander,504,1788,73.1%,31704,689
SUI,Asian and Pacific Islander,504,1788,90.2%,37480,559
MADAN,Asian and Pacific Islander,503,1790,54.4%,25169,924
MADAMBA,Asian and Pacific Islander,503,1790,81.7%,34711,616
GANESAN,Asian and Pacific Islander,503,1790,94.4%,38942,533
ESPINO,Asian and Pacific Islander,502,1793,4.6%,3030,10968
ESPEJO,Asian and Pacific Islander,502,1793,27.1%,14731,1849
IZUMI,Asian and Pacific Islander,502,1793,79.4%,33993,632
PHONG,Asian and Pacific Islander,502,1793,90.6%,37728,554
JOU,Asian and Pacific Islander,502,1793,93.3%,38644,538
SOTO,Asian and Pacific Islander,501,1798,0.5%,257,106631
KAI,Asian and Pacific Islander,501,1798,52.9%,24701,947
FORONDA,Asian and Pacific Islander,500,1800,60.1%,27313,832
PAGADUAN,Asian and Pacific Islander,500,1800,79.2%,34038,631
RILEY,Asian and Pacific Islander,499,1802,0.4%,210,127960
WHEELER,Asian and Pacific Islander,499,1802,0.4%,223,121684
DUQUE,Asian and Pacific Islander,499,1802,8.7%,5569,5723
PANGAN,Asian and Pacific Islander,499,1802,81.0%,34711,616
LOVAN,Asian and Pacific Islander,497,1806,38.0%,19187,1309
MATSUSHITA,Asian and Pacific Islander,497,1806,89.2%,37591,557
HAWKINS,Asian and Pacific Islander,496,1808,0.4%,191,134066
WEBER,Asian and Pacific Islander,496,1808,0.5%,252,107866
OMORI,Asian and Pacific Islander,496,1808,80.3%,34630,618
BALAKRISHNAN,Asian and Pacific Islander,496,1808,90.7%,38079,547
NAKAI,Asian and Pacific Islander,495,1812,43.9%,21565,1128
PANGELINAN,Asian and Pacific Islander,495,1812,67.2%,30023,737
SI,Asian and Pacific Islander,495,1812,74.9%,32743,661
MANALANG,Asian and Pacific Islander,495,1812,91.2%,38320,543
DEOL,Asian and Pacific Islander,494,1816,80.2%,34711,616
SAKAGUCHI,Asian and Pacific Islander,494,1816,80.5%,34799,614
JIM,Asian and Pacific Islander,493,1818,14.8%,9032,3327
BUMANGLAG,Asian and Pacific Islander,493,1818,79.9%,34673,617
SHISHIDO,Asian and Pacific Islander,493,1818,80.2%,34757,615
MIYATA,Asian and Pacific Islander,493,1818,88.4%,37534,558
LYNCH,Asian and Pacific Islander,492,1822,0.4%,237,114448
NEWMAN,Asian and Pacific Islander,492,1822,0.5%,273,100491
BELLO,Asian and Pacific Islander,492,1822,4.1%,2779,11933
SANJOSE,Asian and Pacific Islander,492,1822,66.5%,29932,740
TAKARA,Asian and Pacific Islander,492,1822,85.6%,36672,575
RAJAGOPALAN,Asian and Pacific Islander,492,1822,96.1%,40265,512
FULLER,Asian and Pacific Islander,491,1828,0.5%,256,106682
TAYAG,Asian and Pacific Islander,491,1828,90.1%,38198,545
CHIAO,Asian and Pacific Islander,491,1828,94.6%,39824,519
CERVANTES,Asian and Pacific Islander,490,1831,0.8%,520,57685
TUN,Asian and Pacific Islander,490,1831,64.7%,29421,757
BHUIYAN,Asian and Pacific Islander,490,1831,75.6%,33248,648
REID,Asian and Pacific Islander,489,1834,0.5%,263,104007
CARRILLO,Asian and Pacific Islander,489,1834,0.7%,443,67054
NATHAN,Asian and Pacific Islander,489,1834,6.6%,4444,7369
MARZAN,Asian and Pacific Islander,489,1834,43.7%,21694,1119
KURIHARA,Asian and Pacific Islander,489,1834,86.4%,37094,566
STANLEY,Asian and Pacific Islander,488,1839,0.5%,292,93817
NISHIOKA,Asian and Pacific Islander,488,1839,84.4%,36531,578
KHATUN,Asian and Pacific Islander,488,1839,87.0%,37374,561
RADHAKRISHNAN,Asian and Pacific Islander,488,1839,96.4%,40690,506
ALEGRE,Asian and Pacific Islander,487,1843,34.0%,17984,1431
KIL,Asian and Pacific Islander,487,1843,80.1%,35106,608
COSTA,Asian and Pacific Islander,486,1845,1.4%,900,35227
MADRIAGA,Asian and Pacific Islander,486,1845,75.7%,33528,642
ARCILLA,Asian and Pacific Islander,486,1845,88.2%,37881,551
SWAMINATHAN,Asian and Pacific Islander,486,1845,92.9%,39560,523
HIROSE,Asian and Pacific Islander,485,1849,87.9%,37835,552
TENORIO,Asian and Pacific Islander,484,1850,7.7%,5110,6301
SARWAR,Asian and Pacific Islander,484,1850,77.3%,34259,626
OZA,Asian and Pacific Islander,484,1850,89.0%,38263,544
PAYNE,Asian and Pacific Islander,483,1853,0.3%,183,138028
SALONGA,Asian and Pacific Islander,483,1853,91.0%,39052,531
MORIN,Asian and Pacific Islander,482,1855,1.7%,1136,28184
JOAQUIN,Asian and Pacific Islander,482,1855,18.6%,11214,2592
KADAKIA,Asian and Pacific Islander,482,1855,94.0%,40203,513
HUO,Asian and Pacific Islander,482,1855,97.4%,41448,495
PROM,Asian and Pacific Islander,481,1859,38.1%,19734,1263
LUE,Asian and Pacific Islander,481,1859,50.6%,24615,951
WALTERS,Asian and Pacific Islander,480,1861,0.5%,262,104281
YON,Asian and Pacific Islander,480,1861,16.9%,10421,2833
LAGMAN,Asian and Pacific Islander,480,1861,74.5%,33425,644
RESURRECCION,Asian and Pacific Islander,480,1861,85.9%,37480,559
KAWASHIMA,Asian and Pacific Islander,480,1861,87.6%,38035,548
TROUNG,Asian and Pacific Islander,480,1861,93.0%,40019,516
ANDRADA,Asian and Pacific Islander,479,1867,42.9%,21727,1117
BAKSHI,Asian and Pacific Islander,479,1867,75.7%,33933,633
CARANDANG,Asian and Pacific Islander,479,1867,93.7%,40335,511
DEE,Asian and Pacific Islander,478,1870,7.8%,5222,6144
GUINTO,Asian and Pacific Islander,478,1870,62.7%,29261,762
TSUKAMOTO,Asian and Pacific Islander,478,1870,89.0%,38706,537
SUON,Asian and Pacific Islander,478,1870,90.0%,39052,531
ACOBA,Asian and Pacific Islander,477,1874,84.3%,37094,566
SACHDEVA,Asian and Pacific Islander,477,1874,88.3%,38524,540
KHIM,Asian and Pacific Islander,477,1874,90.2%,39176,529
WELCH,Asian and Pacific Islander,476,1877,0.4%,259,105804
VINCENT,Asian and Pacific Islander,476,1877,0.9%,608,50628
ISHIBASHI,Asian and Pacific Islander,476,1877,84.4%,37200,564
TAKAKI,Asian and Pacific Islander,475,1880,74.9%,33876,634
DHAR,Asian and Pacific Islander,475,1880,90.3%,39378,526
RASTOGI,Asian and Pacific Islander,475,1880,95.4%,41262,498
MONTOYA,Asian and Pacific Islander,474,1883,0.8%,526,57075
VICTORIA,Asian and Pacific Islander,474,1883,9.7%,6401,4899
KOMATSU,Asian and Pacific Islander,474,1883,85.4%,37688,555
ARRIOLA,Asian and Pacific Islander,473,1886,7.7%,5224,6140
QUADRI,Asian and Pacific Islander,473,1886,65.7%,30582,720
